"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2640","User should be able to submit contact form","UI Tests","Sun Apr 27 06:16:13 UTC 2025","passed","Sun Apr 27 06:16:16 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2658","User should get a specific room by ID","API Tests","Sun Apr 27 06:16:04 UTC 2025","passed","Sun Apr 27 06:16:07 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5964","User should get all rooms","API Tests","Sun Apr 27 06:15:58 UTC 2025","passed","Sun Apr 27 06:16:04 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5676","User should be able to book a room","UI Tests","Sun Apr 27 06:16:07 UTC 2025","passed","Sun Apr 27 06:16:13 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
