"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2148","User should get a specific room by ID","API Tests","Wed Apr 30 00:02:15 UTC 2025","passed","Wed Apr 30 00:02:17 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","6123","User should get all rooms","API Tests","Wed Apr 30 00:02:09 UTC 2025","passed","Wed Apr 30 00:02:15 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2740","User should be able to submit contact form","UI Tests","Wed Apr 30 00:02:25 UTC 2025","passed","Wed Apr 30 00:02:27 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","6488","User should be able to book a room","UI Tests","Wed Apr 30 00:02:18 UTC 2025","passed","Wed Apr 30 00:02:25 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
