"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","User should be able to submit contact form","mobile-Safari-iPhone-15","Wed May 28 22:24:14 UTC 2025","failed","Wed May 28 22:24:14 UTC 2025","@neevadmin-compass-integration @UI Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","7","User should be able to book a room","mobile-Safari-iPhone-15","Wed May 28 22:24:11 UTC 2025","failed","Wed May 28 22:24:11 UTC 2025","@neevadmin-compass-integration @UI Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","7","Admin should handle login","mobile-Safari-iPhone-15","Wed May 28 22:24:17 UTC 2025","failed","Wed May 28 22:24:17 UTC 2025","@neevadmin-compass-integration @UI Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
