"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","Admin should handle login","UI Tests","Fri May 16 05:07:20 UTC 2025","passed","Fri May 16 05:07:22 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1968","User should get a specific room by ID","API Tests","Fri May 16 05:07:12 UTC 2025","passed","Fri May 16 05:07:14 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4931","User should be able to book a room","UI Tests","Fri May 16 05:07:15 UTC 2025","passed","Fri May 16 05:07:20 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
