"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2617","User should be able to submit contact form","UI Tests","Wed Apr 30 15:34:54 UTC 2025","passed","Wed Apr 30 15:34:56 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4711","User should get all rooms","API Tests","Wed Apr 30 15:34:36 UTC 2025","passed","Wed Apr 30 15:34:41 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2117","User should get a specific room by ID","API Tests","Wed Apr 30 15:34:41 UTC 2025","passed","Wed Apr 30 15:34:43 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5525","User should be able to book a room","UI Tests","Wed Apr 30 15:34:44 UTC 2025","passed","Wed Apr 30 15:34:49 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
