"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2493","User should be able to submit contact form","UI Tests","Mon Apr 28 04:01:42 UTC 2025","passed","Mon Apr 28 04:01:44 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4959","User should be able to book a room","UI Tests","Mon Apr 28 04:01:35 UTC 2025","passed","Mon Apr 28 04:01:40 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1964","User should get a specific room by ID","API Tests","Mon Apr 28 04:01:32 UTC 2025","passed","Mon Apr 28 04:01:34 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4461","User should get all rooms","API Tests","Mon Apr 28 04:01:27 UTC 2025","passed","Mon Apr 28 04:01:32 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
