"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1942","Admin should handle login","@UI","Thu May 22 19:29:36 UTC 2025","passed","Thu May 22 19:29:38 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1980","User should get a specific room by ID","@API","Thu May 22 19:29:29 UTC 2025","passed","Thu May 22 19:29:31 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4490","User should get all rooms","@API","Thu May 22 19:29:25 UTC 2025","passed","Thu May 22 19:29:29 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","3672","User should be able to book a room","@UI","Thu May 22 19:29:32 UTC 2025","passed","Thu May 22 19:29:36 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
