"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2514","User should be able to submit contact form","UI Tests","Wed Apr 30 04:26:38 UTC 2025","passed","Wed Apr 30 04:26:40 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4667","User should get all rooms","API Tests","Wed Apr 30 04:25:51 UTC 2025","passed","Wed Apr 30 04:25:55 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","930","User should be able to book a room","UI Tests","Wed Apr 30 04:26:36 UTC 2025","failed","Wed Apr 30 04:26:37 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2025","User should get a specific room by ID","API Tests","Wed Apr 30 04:25:55 UTC 2025","passed","Wed Apr 30 04:25:57 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
