"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1905","User should get a specific room by ID","API Tests","Mon Apr 28 04:53:18 UTC 2025","passed","Mon Apr 28 04:53:20 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2653","User should be able to submit contact form","UI Tests","Mon Apr 28 04:53:26 UTC 2025","passed","Mon Apr 28 04:53:29 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4573","User should get all rooms","API Tests","Mon Apr 28 04:53:14 UTC 2025","passed","Mon Apr 28 04:53:18 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4951","User should be able to book a room","UI Tests","Mon Apr 28 04:53:21 UTC 2025","passed","Mon Apr 28 04:53:26 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
