"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6061","User should get all rooms","API Tests","Sat Apr 26 15:42:30 UTC 2025","passed","Sat Apr 26 15:42:36 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2524","User should get a specific room by ID","API Tests","Sat Apr 26 15:42:36 UTC 2025","passed","Sat Apr 26 15:42:39 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2591","User should be able to submit contact form","UI Tests","Sat Apr 26 15:42:46 UTC 2025","passed","Sat Apr 26 15:42:49 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","6331","User should be able to book a room","UI Tests","Sat Apr 26 15:42:40 UTC 2025","passed","Sat Apr 26 15:42:46 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
