"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3161","User should be able to submit contact form","UI Tests","Sun Apr 27 06:27:52 UTC 2025","passed","Sun Apr 27 06:27:55 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","6432","User should get all rooms","API Tests","Sun Apr 27 06:27:33 UTC 2025","passed","Sun Apr 27 06:27:39 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","6470","User should be able to book a room","UI Tests","Sun Apr 27 06:27:42 UTC 2025","passed","Sun Apr 27 06:27:49 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2372","User should get a specific room by ID","API Tests","Sun Apr 27 06:27:39 UTC 2025","passed","Sun Apr 27 06:27:41 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
