"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4934","User should be able to book a room","UI Tests","Mon Apr 28 07:27:06 UTC 2025","passed","Mon Apr 28 07:27:11 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2512","User should be able to submit contact form","UI Tests","Mon Apr 28 07:27:12 UTC 2025","passed","Mon Apr 28 07:27:14 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4473","User should get all rooms","API Tests","Mon Apr 28 07:26:49 UTC 2025","passed","Mon Apr 28 07:26:54 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","1851","User should get a specific room by ID","API Tests","Mon Apr 28 07:26:54 UTC 2025","passed","Mon Apr 28 07:26:56 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
