"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2583","User should be able to submit contact form","UI Tests","Wed Apr 30 03:33:28 UTC 2025","passed","Wed Apr 30 03:33:31 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2758","User should get a specific room by ID","API Tests","Wed Apr 30 03:33:18 UTC 2025","passed","Wed Apr 30 03:33:21 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","6603","User should be able to book a room","UI Tests","Wed Apr 30 03:33:22 UTC 2025","passed","Wed Apr 30 03:33:28 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","6211","User should get all rooms","API Tests","Wed Apr 30 03:33:12 UTC 2025","passed","Wed Apr 30 03:33:18 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
