"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1226","User should be able to submit contact form","UI Tests","Wed Apr 30 03:47:16 UTC 2025","passed","Wed Apr 30 03:47:17 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1916","User should get a specific room by ID","API Tests","Wed Apr 30 03:47:09 UTC 2025","passed","Wed Apr 30 03:47:11 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4285","User should be able to book a room","UI Tests","Wed Apr 30 03:47:12 UTC 2025","passed","Wed Apr 30 03:47:16 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4262","User should get all rooms","API Tests","Wed Apr 30 03:47:04 UTC 2025","passed","Wed Apr 30 03:47:09 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
