"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 17:56:51 GMT 2025","Sat Apr 26 17:56:53 GMT 2025","1731","API Tests","api/hotel-room.api.spec.ts","Room API Tests","","","User should get a specific room by ID",""
"passed","Sat Apr 26 17:57:07 GMT 2025","Sat Apr 26 17:57:12 GMT 2025","4960","UI Tests","ui/hotel-room.ui.spec.ts","Hotel Booking Website Tests","","","User should be able to book a room",""
"passed","Sat Apr 26 17:56:47 GMT 2025","Sat Apr 26 17:56:51 GMT 2025","4313","API Tests","api/hotel-room.api.spec.ts","Room API Tests","","","User should get all rooms",""
"passed","Sat Apr 26 17:57:13 GMT 2025","Sat Apr 26 17:57:14 GMT 2025","1206","UI Tests","ui/hotel-room.ui.spec.ts","Hotel Booking Website Tests","","","User should be able to submit contact form",""
