"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1660","User should get a specific room by ID","API Tests","Wed Apr 30 04:11:41 UTC 2025","passed","Wed Apr 30 04:11:43 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2617","User should be able to submit contact form","UI Tests","Wed Apr 30 04:11:55 UTC 2025","passed","Wed Apr 30 04:11:57 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","3925","User should get all rooms","API Tests","Wed Apr 30 04:11:37 UTC 2025","passed","Wed Apr 30 04:11:41 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5223","User should be able to book a room","UI Tests","Wed Apr 30 04:11:44 UTC 2025","passed","Wed Apr 30 04:11:49 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
