"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6305","User should get all rooms","API Tests","Thu May 15 01:08:35 UTC 2025","passed","Thu May 15 01:08:41 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","7785","User should be able to book a room","UI Tests","Thu May 15 01:08:42 UTC 2025","passed","Thu May 15 01:08:50 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
