"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2448","User should be able to submit contact form","UI Tests","Mon Apr 28 06:03:34 UTC 2025","passed","Mon Apr 28 06:03:36 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2041","User should get a specific room by ID","API Tests","Mon Apr 28 06:03:14 UTC 2025","passed","Mon Apr 28 06:03:16 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4801","User should get all rooms","API Tests","Mon Apr 28 06:03:10 UTC 2025","passed","Mon Apr 28 06:03:14 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5433","User should be able to book a room","UI Tests","Mon Apr 28 06:03:28 UTC 2025","passed","Mon Apr 28 06:03:33 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
