"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","User should not get a non-existent room by ID","chrome","Wed Jun 25 20:08:56 UTC 2025","passed","Wed Jun 25 20:08:57 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","1644","User should create a new room","chrome","Wed Jun 25 20:08:57 UTC 2025","passed","Wed Jun 25 20:08:58 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","4861","User should get all rooms","chrome","Wed Jun 25 20:08:52 UTC 2025","passed","Wed Jun 25 20:08:56 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
