"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3059","User should get a specific room by ID","API Tests","Tue May 20 03:53:17 UTC 2025","passed","Tue May 20 03:53:20 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","6299","User should be able to book a room","UI Tests","Tue May 20 03:53:21 UTC 2025","passed","Tue May 20 03:53:27 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","3514","Admin should handle login","UI Tests","Tue May 20 03:53:27 UTC 2025","passed","Tue May 20 03:53:31 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
