"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4933","User should be able to book a room","UI Tests","Tue May 20 05:05:53 UTC 2025","passed","Tue May 20 05:05:58 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2070","User should get a specific room by ID","API Tests","Tue May 20 05:05:50 UTC 2025","passed","Tue May 20 05:05:52 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","1896","Admin should handle login","UI Tests","Tue May 20 05:05:58 UTC 2025","passed","Tue May 20 05:06:00 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
