"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6814","User should be able to book a room","UI Tests","Mon Apr 28 14:04:47 UTC 2025","passed","Mon Apr 28 14:04:54 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4988","User should get all rooms","API Tests","Mon Apr 28 14:04:39 UTC 2025","passed","Mon Apr 28 14:04:44 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2187","User should get a specific room by ID","API Tests","Mon Apr 28 14:04:44 UTC 2025","passed","Mon Apr 28 14:04:46 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2738","User should be able to submit contact form","UI Tests","Mon Apr 28 14:04:58 UTC 2025","passed","Mon Apr 28 14:05:01 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
