"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4883","User should be able to book a room","UI Tests","Tue May 20 05:12:29 UTC 2025","passed","Tue May 20 05:12:34 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1789","User should create a new room","API Tests","Tue May 20 05:12:25 UTC 2025","passed","Tue May 20 05:12:26 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2065","Admin should update an existing room","API Tests","Tue May 20 05:12:26 UTC 2025","passed","Tue May 20 05:12:29 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
