"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","User should not get a non-existent room by ID","chrome","Wed Jun 25 23:30:01 UTC 2025","passed","Wed Jun 25 23:30:01 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","1787","User should create a new room","chrome","Wed Jun 25 23:30:01 UTC 2025","passed","Wed Jun 25 23:30:03 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","4514","User should get all rooms","chrome","Wed Jun 25 23:29:56 UTC 2025","passed","Wed Jun 25 23:30:01 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
