"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2634","User should be able to submit contact form","UI Tests","Wed Apr 30 03:04:23 UTC 2025","passed","Wed Apr 30 03:04:25 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1852","User should get a specific room by ID","API Tests","Wed Apr 30 03:04:10 UTC 2025","passed","Wed Apr 30 03:04:12 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5461","User should be able to book a room","UI Tests","Wed Apr 30 03:04:13 UTC 2025","passed","Wed Apr 30 03:04:19 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4810","User should get all rooms","API Tests","Wed Apr 30 03:04:06 UTC 2025","passed","Wed Apr 30 03:04:10 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
