"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4792","User should be able to book a room","UI Tests","Sun Apr 27 18:41:32 UTC 2025","passed","Sun Apr 27 18:41:37 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2668","User should be able to submit contact form","UI Tests","Sun Apr 27 18:41:37 UTC 2025","passed","Sun Apr 27 18:41:40 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1840","User should get a specific room by ID","API Tests","Sun Apr 27 18:41:29 UTC 2025","passed","Sun Apr 27 18:41:31 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4608","User should get all rooms","API Tests","Sun Apr 27 18:41:25 UTC 2025","passed","Sun Apr 27 18:41:29 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
