"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2581","User should be able to submit contact form","UI Tests","Mon Apr 28 07:11:06 UTC 2025","passed","Mon Apr 28 07:11:08 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2049","User should get a specific room by ID","API Tests","Mon Apr 28 07:10:53 UTC 2025","passed","Mon Apr 28 07:10:55 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4840","User should get all rooms","API Tests","Mon Apr 28 07:10:49 UTC 2025","passed","Mon Apr 28 07:10:53 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5259","User should be able to book a room","UI Tests","Mon Apr 28 07:10:56 UTC 2025","passed","Mon Apr 28 07:11:02 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
