"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 17:34:41 GMT 2025","Sat Apr 26 17:34:48 GMT 2025","6131","UI Tests","ui/hotel-room.ui.spec.ts","Hotel Booking Website Tests","","","User should be able to book a room",""
"passed","Sat Apr 26 17:34:34 GMT 2025","Sat Apr 26 17:34:41 GMT 2025","6301","API Tests","api/hotel-room.api.spec.ts","Room API Tests","","","User should get all rooms",""
