"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5091","User should be able to book a room","UI Tests","Tue May 20 05:52:12 UTC 2025","passed","Tue May 20 05:52:17 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1857","User should create a new room","API Tests","Tue May 20 05:52:07 UTC 2025","passed","Tue May 20 05:52:09 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2307","Admin should update an existing room","API Tests","Tue May 20 05:52:09 UTC 2025","passed","Tue May 20 05:52:12 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
