"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 17:56:49 GMT 2025","Sat Apr 26 17:56:53 GMT 2025","4014","API Tests","api/hotel-room.api.spec.ts","Room API Tests","","","User should get all rooms",""
"passed","Sat Apr 26 17:56:54 GMT 2025","Sat Apr 26 17:56:58 GMT 2025","4807","UI Tests","ui/hotel-room.ui.spec.ts","Hotel Booking Website Tests","","","User should be able to book a room",""
