"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2028","User should get a specific room by ID","chrome","Wed Jun 11 17:01:51 UTC 2025","passed","Wed Jun 11 17:01:53 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","4782","User should get all rooms","chrome","Wed Jun 11 17:01:46 UTC 2025","passed","Wed Jun 11 17:01:51 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
