"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2056","User should get a specific room by ID","API Tests","Tue May 20 02:57:37 UTC 2025","passed","Tue May 20 02:57:39 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","1846","Admin should handle login","UI Tests","Tue May 20 02:57:45 UTC 2025","passed","Tue May 20 02:57:47 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4987","User should be able to book a room","UI Tests","Tue May 20 02:57:40 UTC 2025","passed","Tue May 20 02:57:45 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
