"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6915","User should get all rooms","chrome","Wed Jun 25 19:31:34 UTC 2025","passed","Wed Jun 25 19:31:41 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","369","User should not get a non-existent room by ID","chrome","Wed Jun 25 19:31:41 UTC 2025","passed","Wed Jun 25 19:31:41 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","2451","User should create a new room","chrome","Wed Jun 25 19:31:41 UTC 2025","passed","Wed Jun 25 19:31:43 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
