"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7099","User should be able to book a room","UI Tests","Fri May 16 05:50:07 UTC 2025","passed","Fri May 16 05:50:14 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2538","Admin should handle login","UI Tests","Fri May 16 05:50:15 UTC 2025","passed","Fri May 16 05:50:17 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2962","User should get a specific room by ID","API Tests","Fri May 16 05:50:03 UTC 2025","passed","Fri May 16 05:50:06 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
