"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1606","User should create a new room","chrome","Wed Jun 25 16:51:20 UTC 2025","passed","Wed Jun 25 16:51:21 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","1940","User should get a specific room by ID","chrome","Wed Jun 25 16:51:17 UTC 2025","passed","Wed Jun 25 16:51:19 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","4581","User should get all rooms","chrome","Wed Jun 25 16:51:13 UTC 2025","passed","Wed Jun 25 16:51:17 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","2151","Admin should update an existing room","chrome","Wed Jun 25 16:51:21 UTC 2025","passed","Wed Jun 25 16:51:23 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
"","259","User should not get a non-existent room by ID","chrome","Wed Jun 25 16:51:19 UTC 2025","passed","Wed Jun 25 16:51:20 UTC 2025","Room Tests","api/hotel-room.api.spec.ts","",""
