"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2471","User should be able to submit contact form","UI Tests","Tue Apr 29 09:57:17 UTC 2025","passed","Tue Apr 29 09:57:19 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1916","User should get a specific room by ID","API Tests","Tue Apr 29 09:57:09 UTC 2025","passed","Tue Apr 29 09:57:11 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4570","User should get all rooms","API Tests","Tue Apr 29 09:57:04 UTC 2025","passed","Tue Apr 29 09:57:09 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4820","User should be able to book a room","UI Tests","Tue Apr 29 09:57:11 UTC 2025","passed","Tue Apr 29 09:57:16 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
