"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2652","User should be able to submit contact form","UI Tests","Tue Apr 29 10:47:30 UTC 2025","passed","Tue Apr 29 10:47:32 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1689","User should get a specific room by ID","API Tests","Tue Apr 29 10:47:24 UTC 2025","passed","Tue Apr 29 10:47:25 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","3334","User should be able to book a room","UI Tests","Tue Apr 29 10:47:26 UTC 2025","passed","Tue Apr 29 10:47:29 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","4041","User should get all rooms","API Tests","Tue Apr 29 10:47:20 UTC 2025","passed","Tue Apr 29 10:47:24 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
