"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2417","User should get a specific room by ID","API Tests","Wed Apr 30 03:19:59 UTC 2025","passed","Wed Apr 30 03:20:02 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","6445","User should get all rooms","API Tests","Wed Apr 30 03:19:53 UTC 2025","passed","Wed Apr 30 03:19:59 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","6704","User should be able to book a room","UI Tests","Wed Apr 30 03:20:03 UTC 2025","passed","Wed Apr 30 03:20:09 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","3204","User should be able to submit contact form","UI Tests","Wed Apr 30 03:20:09 UTC 2025","passed","Wed Apr 30 03:20:13 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
