"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1906","Admin should handle login","UI Tests","Tue May 20 01:10:15 UTC 2025","passed","Tue May 20 01:10:17 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","1949","User should get a specific room by ID","API Tests","Tue May 20 01:10:07 UTC 2025","passed","Tue May 20 01:10:09 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","4999","User should be able to book a room","UI Tests","Tue May 20 01:10:10 UTC 2025","passed","Tue May 20 01:10:15 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
