"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5985","User should be able to book a room","UI Tests","Wed Apr 30 01:19:14 UTC 2025","passed","Wed Apr 30 01:19:20 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","2113","User should get a specific room by ID","API Tests","Wed Apr 30 01:19:11 UTC 2025","passed","Wed Apr 30 01:19:13 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","2782","User should be able to submit contact form","UI Tests","Wed Apr 30 01:19:22 UTC 2025","passed","Wed Apr 30 01:19:25 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","5439","User should get all rooms","API Tests","Wed Apr 30 01:19:05 UTC 2025","passed","Wed Apr 30 01:19:11 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
